d_loss:5.708214, g_loss:0.0036903701
d_loss:5.1074877, g_loss:0.007500012
d_loss:4.5106297, g_loss:0.029131517
d_loss:4.2187014, g_loss:0.045134366
d_loss:4.046369, g_loss:0.038172323
d_loss:4.0062165, g_loss:0.04664664
d_loss:3.0023098, g_loss:0.16710062
d_loss:3.6937237, g_loss:0.04956068
d_loss:1.9958607, g_loss:0.6427169
d_loss:5.972768, g_loss:0.003634487
d_loss:1.9537613, g_loss:0.7076472
d_loss:4.4010057, g_loss:0.024763612
d_loss:2.1771998, g_loss:1.2620785
d_loss:5.600288, g_loss:0.0057398053
d_loss:1.3784559, g_loss:2.7352278
d_loss:5.006363, g_loss:0.009785468
d_loss:2.0419126, g_loss:2.2812567
d_loss:5.152582, g_loss:0.008370811
d_loss:1.130481, g_loss:3.2030096
d_loss:2.9089224, g_loss:0.0979909
d_loss:1.3649172, g_loss:3.9281569
d_loss:3.3872776, g_loss:0.049740646
d_loss:1.0846204, g_loss:4.2527943
d_loss:2.9326909, g_loss:0.08374047
d_loss:1.2307018, g_loss:5.289126
d_loss:1.842465, g_loss:0.2571626
d_loss:0.6952199, g_loss:3.9476166
d_loss:2.8126497, g_loss:0.092117235
d_loss:1.7675428, g_loss:6.074444
d_loss:1.745413, g_loss:0.4510749
d_loss:1.0895323, g_loss:1.8407745
d_loss:2.527913, g_loss:0.15743609
d_loss:0.8468751, g_loss:5.6386275
d_loss:1.8643185, g_loss:0.41570464
d_loss:0.8483473, g_loss:1.652113
d_loss:3.9339468, g_loss:0.039161205
d_loss:1.9525114, g_loss:5.642533
d_loss:5.168266, g_loss:0.014193024
d_loss:2.950261, g_loss:2.2432055
d_loss:4.17472, g_loss:0.10289775
d_loss:1.9746166, g_loss:4.8412504
d_loss:1.4234269, g_loss:0.842875
d_loss:0.7101428, g_loss:1.2869745
d_loss:0.66035336, g_loss:2.2067132
d_loss:0.62363464, g_loss:1.5322144
d_loss:0.6273674, g_loss:1.368089
d_loss:0.5225816, g_loss:1.5978453
d_loss:0.8256713, g_loss:0.99215585
d_loss:0.447431, g_loss:2.2046802
d_loss:1.5370325, g_loss:0.42285883
d_loss:0.7965998, g_loss:5.6153655
d_loss:0.5295651, g_loss:2.1331706
d_loss:2.4142342, g_loss:0.119891524
d_loss:0.4223008, g_loss:6.4223137
d_loss:0.49805924, g_loss:3.9806337
